Titlu,nume,judet,oras,adresa,longitudine,latitudine
B-MEDIC LINE BUSINESS HEALTH SRL,Medic Line Barbu Vacarescu,Bucuresti,Municipiul Bucuresti,"Str. Barbu Vacarescu 42A, 020271 Bucuresti",26.1063167,44.4564414
B-MED LIFE SA SUCURSALA BUCURESTI,Hyperclinica MedLife Medical Park,Bucuresti,Municipiul Bucuresti,"Calea Grivitei 359, 010718 Bucuresti",26.0551644,44.464067
B-MONZA ARES SRL,MONZA ARES Bucuresti,Bucuresti,Municipiul Bucuresti,"Strada Tony Bulandra 27, 021967 Bucuresti",26.1491344,44.4389246
B-OCULARCARE SRL,"Clinica de Oftalmologie OCULARCARE - Consultatii, Investigatii, Interventii si Optica Medicala",Bucuresti,Municipiul Bucuresti,"Clinica Ocularcare, Bulevardul Ion Mihalache 128, 012244 Bucuresti",26.0690949,44.4649674
B-REVERA ASSISTED S.R.L.,C Ingrijire Batrani Domiciliu,Bucuresti,Municipiul Bucuresti,"Soseaua Gheorghe Ionescu Sisesti 8A, 013823 Bucuresti",26.0687439,44.5016102
B-SC AIS CLINCS&HOSPITAL SRL,AIS CLINICS & HOSPITAL ALEXANDRIEI,Bucuresti,Municipiul Bucuresti,"Soseaua Alexandriei 144, 051523 Bucuresti",26.0482605,44.3999343
"B-SC CLINICA ""SF. LUCIA"" SRL",Royal Hospital Bucharest,Bucuresti,Municipiul Bucuresti,"Splaiul Unirii 313A, 030138 Bucuresti",26.1370015,44.4057406
B-SC CM MUNPOSAN 94 SRL,M Hospital,Bucuresti,Municipiul Bucuresti,"Strada Witting 10-12, 010903 Bucuresti",26.0731433,44.4442526
B-SC GRAL MEDICAL SRL,GRAL Medical,Bucuresti,Municipiul Bucuresti,"Soseaua Stefan cel Mare 230, 020125 Bucuresti",26.1213218,44.4508945
B-SC MEDEUROPA SRL,MedEuropa Bucuresti - Radioterapie si Oncologie Medicala,Bucuresti,Municipiul Bucuresti,"Soseaua Dobroesti nr. 20A, 022343 Bucuresti",26.1667919,44.443695
B-SC MEDICAL CITY BLUE SRL,Clinica NORD Alexandrina,Bucuresti,Municipiul Bucuresti,"Strada Alexandrina 20-22, 011442 Bucuresti",26.0834062,44.4646614
B-S.C. SANADOR SRL,Clinica Sanador Victoriei Corp B,Bucuresti,Municipiul Bucuresti,"Strada Dr. Iacob Felix 32, 011038 Bucuresti",26.0817204,44.4500492
B-SPITALUL CL COMF PROF DR D THEODORESCU,"Spitalul Clinic de Chirurgie Oro-Maxilo-Faciala ""Prof. Dr. Dan Theodorescu""",Bucuresti,Municipiul Bucuresti,"Calea Plevnei 17-21, 010221 Bucuresti",26.0855266,44.4355647
B-SPITALUL CL COPII DR V GOMOIU,"Spitalul Clinic de Copii ""Dr. Victor Gomoiu""",Bucuresti,Municipiul Bucuresti,"Bulevardul Basarabia 21, 022102 Bucuresti",26.1422323,44.4330325
B-SPITALUL CLINIC CF NR 2,"Spitalul Clinic ""CF 2""",Bucuresti,Municipiul Bucuresti,"Bulevardul Marasti 63, 011464 Bucuresti",26.0701298,44.4739687
B-SPITALUL CLINIC COLENTINA,Spitalul Clinic Colentina,Bucuresti,Municipiul Bucuresti,"Soseaua Stefan cel Mare 19-21, 020125 Bucuresti",26.1139467,44.4536293
B-SPITALUL CLINIC COLTEA,Spitalul Clinic Coltea,Bucuresti,Municipiul Bucuresti,"Bulevardul Ion C. Bratianu 1, 030167 Bucuresti",26.1038073,44.4345143
B-SPITALUL CLINIC DE BOLI INFECTIOASE SI TROPICALE DR VICTOR BABES,"Spitalul Clinic de Boli Infectioase si tropicale ""Dr. Victor Babes""",Bucuresti,Municipiul Bucuresti,"Soseaua Mihai Bravu 281, 030303 Bucuresti",26.1392986,44.4277417
B-SPITALUL CLINIC DE NEFROLOGIE DR CAROL DAVILA,Spitalul Clinic de Nefrologie Doctor Carol Davila,Bucuresti,Municipiul Bucuresti,"Calea Grivitei 4, 010731 Bucuresti",26.0898028,44.4446575
"B-SPITALUL CLINIC DE ORTOPEDIE-TRAUMATOLOGIE ""FOISOR"" BUCURESTI","Spitalul Clinic de Ortopedie, Traumatologie si TBC Osteoarticular ""Foisor"" Bucuresti",Bucuresti,Municipiul Bucuresti,"Bulevardul Ferdinand I 35-37, 030167 Bucuresti",26.1210448,44.440842
B-Spitalul Clinic de Psihiatrie Prof. Dr. Al. Obregia,"Spitalul Clinic de Psihiatrie ""Al Obregia""",Bucuresti,Municipiul Bucuresti,"Soseaua Berceni 10, 041914 Bucuresti",26.1271342,44.3873798
"B-SPITALUL CLINIC DE URGENTA ""BAGDASAR ARSENI""",Spitalul Clinic de Urgenta Bagdasar-Arseni,Bucuresti,Municipiul Bucuresti,"Soseaua Berceni 12, 041915 Bucuresti",26.1279391,44.3854748
B-SPITALUL CLINIC DE URGENTA FLOREASCA,Spitalul Clinic de Urgenta Bucuresti,Bucuresti,Municipiul Bucuresti,"Calea Floreasca 8, 014461 Bucuresti",26.1016874,44.4538907
B-SPITALUL CLINIC DE URGENTA PENTRU COPII MS CURIE,"Spitalul Clinic de Urgenta pentru Copii ""Maria Sklodowska Curie""",Bucuresti,Municipiul Bucuresti,"Bulevardul Constantin Brancoveanu 20, 077120 Bucuresti",26.109453,44.3894219
